Turning_Cut_Depth;Milling_Gear_Depth;Drilling_Surf_Quality;Drill_Pressure;Drilling_Speed;Turning_Rotation_Speed;Turning_Cut_Speed;Milling_Circle_Diameter;Drilling_Diameter;Turning_Shaft_Diameter;class
0.579;0.38;0.323;3.363;32.503;45.534;49.148;0.891;1.671;0.541;OK
0.572;0.386;0.323;4.971;31.419;45.284;49.149;0.818;1.651;0.548;OK
0.6;0.378;0.322;4.738;32.798;44.991;49.143;0.9;1.625;0.544;OK
0.601;0.38;0.322;4.873;33.124;45.569;49.157;0.911;1.677;0.541;OK
0.567;0.38;0.323;1.619;32.971;44.061;49.131;0.915;1.562;0.54;OK
0.566;0.379;0.323;1.764;34.244;45.102;49.148;0.996;1.644;0.545;OK
0.601;0.382;0.322;2.25;33.344;45.329;49.123;0.943;1.659;0.546;OK
0.603;0.383;0.321;3.149;32.762;44.971;49.129;0.897;1.632;0.549;OK
0.585;0.371;0.323;1.054;30.88;45.46;49.166;0.777;1.659;0.547;OK
0.577;0.383;0.323;2.138;32.849;45.624;49.144;0.924;1.678;0.544;OK
0.578;0.389;0.324;1.953;31.066;45.816;49.138;0.791;1.689;0.545;OK
0.583;0.371;0.323;3.906;31.428;44.567;49.161;0.809;1.589;0.547;OK
0.58;0.378;0.323;4.21;32.396;44.109;49.15;0.881;1.561;0.548;OK
0.589;0.388;0.321;1.245;32.139;43.979;49.136;0.851;1.553;0.547;OK
0.613;0.391;0.322;2.233;33.46;44.954;49.147;0.948;1.632;0.545;OK
0.573;0.4;0.322;1.545;31.871;45.268;49.148;0.85;1.65;0.547;OK
0.561;0.384;0.322;3.389;32.47;45.113;49.148;0.879;1.64;0.544;OK
0.584;0.376;0.322;2.322;31.853;44.491;49.156;0.838;1.59;0.543;OK
0.603;0.399;0.322;4.725;32.877;44.763;49.144;0.896;1.617;0.544;OK
0.578;0.4;0.322;1.931;33.387;45.655;49.136;0.93;1.679;0.548;OK
0.614;0.381;0.322;1.755;31.943;45.006;49.155;0.854;1.63;0.547;OK
0.611;0.384;0.322;1.252;33.299;44.68;49.128;0.928;1.607;0.543;OK
0.592;0.377;0.323;4.889;32.616;45.145;49.138;0.895;1.642;0.548;OK
0.596;0.387;0.323;1.704;32.679;45.259;49.164;0.873;1.649;0.544;OK
0.59;0.384;0.322;3.88;31.833;44.774;49.139;0.838;1.616;0.545;OK
0.591;0.379;0.322;4.001;31.982;44.908;49.153;0.85;1.623;0.548;OK
0.571;0.39;0.322;4.092;30.994;45.429;49.157;0.774;1.659;0.549;OK
0.572;0.383;0.323;2.754;31.593;45.273;49.157;0.829;1.647;0.545;OK
0.584;0.384;0.322;1.641;33.063;43.972;49.131;0.905;1.553;0.544;OK
0.574;0.388;0.323;4.913;33.27;44.698;49.145;0.934;1.613;0.542;OK
0.593;0.393;0.321;2.345;32.236;44.649;49.157;0.867;1.604;;OK
0.602;0.388;0.322;4.917;31.801;44.799;49.178;0.84;1.607;0.55;OK
0.586;0.387;0.322;4.148;31.42;44.371;49.139;0.819;1.587;0.549;OK
0.607;0.383;0.322;4.83;32.784;44.955;49.17;0.896;1.626;0.546;OK
0.619;0.386;0.323;2.035;31.187;45.49;49.158;0.805;1.67;0.546;OK
0.589;0.392;0.322;1.291;31.558;45.47;49.131;0.816;1.661;0.543;OK
0.593;0.389;0.321;3.524;30.946;45.118;49.12;0.784;1.634;0.547;OK
0.594;0.393;0.32;3.204;32.681;45.438;49.15;0.892;1.664;0.546;OK
0.597;0.404;0.321;2.206;33.197;45.372;49.129;0.93;1.658;0.548;OK
0.586;0.399;0.322;4.269;32.737;44.956;49.131;0.899;1.624;0.547;OK
0.584;0.389;0.322;2.568;32.584;44.886;49.141;0.887;1.617;0.546;OK
0.581;0.385;0.322;2.973;32.043;45.357;49.136;0.843;1.655;0.546;OK
0.579;0.408;0.32;2.809;32.079;45.338;49.152;0.857;1.656;0.55;OK
0.584;0.377;0.32;2.907;33.639;44.899;49.168;0.955;1.619;0.546;OK
0.586;0.387;0.321;2.633;32.787;45.628;49.14;0.896;1.676;0.547;OK
0.574;0.402;0.321;4.39;33.598;45.186;49.14;0.954;1.644;0.547;OK
0.584;0.387;0.32;4.179;34.55;45.11;49.14;1.006;1.628;0.548;OK
0.574;0.385;0.321;3.666;34.77;44.717;49.15;1.021;1.611;0.545;OK
0.58;0.383;0.32;2.339;33.802;45.181;49.132;0.9;1.642;0.548;OK
0.599;0.386;0.32;4.802;32.671;44.932;49.165;0.886;1.626;0.549;OK
0.608;0.391;0.32;1.831;33.481;45.111;49.151;0.948;1.64;0.547;OK
0.591;0.381;0.319;1.172;33.32;45.362;49.157;0.942;1.655;0.552;OK
0.597;0.381;0.321;3.856;33.497;45.502;49.141;0.942;1.669;0.547;OK
0.599;0.392;0.321;3.282;33.718;46.045;49.13;0.946;1.709;0.543;OK
0.598;0.387;0.322;4.009;33.828;45.769;49.143;0.957;1.695;0.544;OK
0.593;0.395;0.32;2.471;32.515;45.192;49.133;0.883;1.647;0.548;OK
0.619;0.397;0.321;1.68;32.019;45.371;49.136;0.863;1.658;0.547;OK
0.612;0.388;0.32;2.193;30.483;45.632;49.145;0.765;1.674;0.545;OK
0.593;0.388;0.32;4.789;29.785;45.357;49.151;0.707;1.66;0.55;OK
0.599;0.384;0.321;2.603;30.683;44.769;49.145;0.771;1.612;0.551;OK
0.576;0.392;0.32;1.37;31.565;45.337;49.152;0.825;1.655;0.55;OK
0.612;0.396;0.319;3.834;31.822;45.246;49.162;0.834;1.642;0.545;OK
0.6;0.377;0.322;2.21;31.069;45.35;49.139;0.798;1.659;0.55;OK
0.613;0.381;0.32;4.561;30.566;45.675;49.161;0.77;1.681;0.551;OK
0.61;0.389;0.322;2.197;32.402;45.184;49.153;0.882;1.628;0.548;OK
0.574;0.379;0.322;2.685;31.362;45.481;49.121;0.821;1.67;0.552;OK
0.604;0.393;0.321;3.773;32.68;45.5;49.133;0.891;1.666;0.544;OK
0.606;0.368;0.321;1.853;32.828;45.146;49.15;0.885;1.636;0.548;OK
0.585;0.39;0.322;1.338;33.109;44.947;49.14;0.911;1.629;;OK
0.604;0.387;0.322;2.338;31.574;45.313;49.138;0.819;1.655;0.546;OK
0.606;0.371;0.321;2.555;32.434;45.135;49.155;0.879;1.644;0.545;OK
0.602;0.381;0.322;4.207;33.862;44.532;49.136;0.967;1.598;0.544;OK
0.58;0.384;0.32;3.647;32.8;45.241;49.146;0.898;1.65;0.549;OK
0.572;0.379;0.322;4.587;34.034;45.665;49.157;0.965;1.678;0.546;OK
0.596;0.389;0.321;2.122;33.557;45.347;49.136;0.934;1.656;0.544;OK
0.571;0.4;0.32;2.583;33.354;44.874;49.147;0.932;1.615;0.547;OK
0.59;0.384;0.32;2.179;33.407;45.078;49.15;0.938;1.641;0.55;OK
0.599;0.367;0.321;3.737;33.276;45.265;49.154;0.93;1.649;0.547;OK
0.573;0.375;0.321;2.286;33.37;44.704;49.158;0.922;1.608;0.545;OK
0.589;0.374;0.32;3.054;34.57;44.773;49.132;1.006;1.614;0.548;OK
0.59;0.391;0.319;1.395;33.096;44.867;49.15;0.907;1.622;0.549;OK
0.6;0.378;0.32;1.243;33.124;45.518;49.125;0.915;1.673;0.549;OK
0.582;0.386;0.32;4.609;32.325;45.391;49.148;0.884;1.661;0.545;OK
0.607;0.38;0.321;3.923;31.966;45.142;49.158;0.836;1.642;0.546;OK
0.557;0.37;0.32;3.144;31.748;45.406;49.134;0.836;1.658;0.544;OK
0.587;0.376;0.319;2.788;31.086;44.818;49.129;0.8;1.617;0.544;OK
0.577;0.372;0.319;3.66;32.492;44.742;49.165;0.88;1.616;0.548;OK
0.588;0.388;0.32;4.877;32.297;45.291;49.143;0.863;1.651;0.543;OK
0.594;0.381;0.319;2.535;33.502;45.436;49.156;0.951;1.665;0.543;OK
0.587;0.365;0.319;2.767;34.638;44.964;49.118;1.01;1.631;0.544;OK
0.586;0.367;0.319;1.961;34.476;44.895;49.138;0.99;1.62;0.543;OK
0.597;0.385;0.32;1.301;34.191;44.638;49.13;0.987;1.61;0.55;OK
0.595;0.368;0.32;2.703;33.971;44.915;49.14;0.975;1.624;0.544;OK
0.578;0.359;0.32;3.408;31.801;44.32;49.156;0.841;1.576;0.543;OK
0.582;0.363;0.32;3.02;32.411;44.347;49.139;0.882;1.583;0.543;OK
0.569;0.369;0.32;2.245;31.407;45.135;49.153;0.817;1.647;0.539;OK
0.613;0.359;0.32;2.293;33.169;44.961;49.151;0.907;1.632;0.541;OK
0.584;0.361;0.32;1.656;32.521;45.279;49.13;0.885;1.662;0.543;OK
0.588;0.363;0.321;4.802;33.329;45.134;49.124;0.936;1.637;0.542;OK
0.582;0.346;0.319;4.748;31.748;44.648;49.135;0.842;1.609;0.542;OK
0.576;0.357;0.32;2.723;33.153;44.423;49.133;0.911;1.578;0.542;OK
0.592;0.374;0.32;2.54;31.613;45.078;49.154;0.83;1.642;0.539;OK
0.572;0.369;0.32;1.889;32.932;45.997;49.154;0.911;1.702;0.541;OK
0.565;0.371;0.319;2.339;33.525;44.617;49.135;0.944;1.602;0.542;OK
0.599;0.371;0.321;3.401;34.919;44.797;49.111;1.028;1.612;0.54;OK
0.573;0.357;0.32;3.052;33.462;44.549;49.143;0.943;1.587;0.541;OK
0.585;0.36;0.32;3.617;34.102;44.235;49.139;0.966;1.571;0.537;OK
0.585;0.356;0.321;2.609;33.649;44.604;49.139;0.944;1.601;0.541;OK
0.581;0.357;0.319;3.54;33.08;44.557;49.132;0.909;1.602;;OK
0.585;0.35;0.32;1.743;35.114;45.123;49.155;1.043;1.643;0.534;OK
0.574;0.354;0.319;3.838;32.395;45.315;49.12;0.863;1.651;0.537;OK
0.56;0.35;0.319;4.491;34.935;45.3;49.115;1.027;1.652;0.539;OK
0.566;0.357;0.319;1.31;32.833;45.395;49.151;0.899;1.661;0.541;OK
0.565;0.339;0.321;4.605;31.67;45.163;49.111;0.819;1.641;0.539;OK
0.588;0.365;0.318;2.467;33.715;46.458;49.133;0.943;1.737;0.537;OK
0.568;0.356;0.319;3.862;33.262;44.682;49.15;0.925;1.613;0.541;OK
0.597;0.351;0.318;3.671;34.004;44.831;49.168;0.961;1.622;0.542;OK
0.573;0.361;0.319;4.592;32.44;44.327;49.14;0.873;1.581;0.542;OK
0.556;0.35;0.318;1.826;33.476;45.256;49.128;0.937;1.652;0.535;OK
0.581;0.366;0.32;3.621;34.339;44.891;49.137;0.999;1.618;0.54;OK
0.588;0.345;0.319;3.464;32.349;44.715;49.137;0.884;1.616;0.538;OK
0.566;0.348;0.319;3.884;32.179;44.998;49.157;0.863;1.632;0.538;OK
0.582;0.365;0.32;4.833;33.371;45.247;49.137;0.92;1.647;0.537;OK
0.579;0.361;0.32;3.912;32.251;45.115;49.131;0.857;1.638;0.54;OK
0.609;0.369;0.319;4.893;33.78;45.066;49.117;0.964;1.641;0.536;OK
0.566;0.355;0.318;3.818;33.948;44.977;49.153;0.968;1.626;0.539;OK
0.592;0.354;0.319;3.193;32.259;45.189;49.122;0.867;1.645;0.541;OK
0.579;0.345;0.318;3.924;31.581;45.826;49.123;0.82;1.699;0.538;OK
0.611;0.365;0.321;4.098;32.416;44.817;49.162;0.872;1.618;0.538;OK
0.585;0.361;0.32;4.151;33.168;45.482;49.148;0.917;1.666;0.535;OK
0.595;0.334;0.319;1.336;33.573;45.302;49.115;0.941;1.653;0.536;OK
0.592;0.358;0.32;1.06;32.963;45.059;49.158;0.907;1.63;0.531;OK
0.587;0.354;0.319;2.865;33.973;44.912;49.134;0.953;1.626;0.537;OK
0.626;0.348;0.32;2.915;34.141;44.053;49.127;0.973;1.558;0.535;OK
0.601;0.357;0.32;1.023;34.444;44.773;49.14;0.995;1.614;0.533;OK
0.589;0.338;0.32;4.419;33.474;44.913;49.126;0.933;1.626;0.536;OK
0.612;0.334;0.32;2.205;33.54;45.239;49.121;0.958;1.651;0.537;OK
0.59;0.354;0.32;2.815;34.297;44.392;49.134;0.985;1.58;0.533;OK
0.591;0.344;0.319;4.978;34.662;45.17;49.138;1.0;1.649;0.536;OK
0.6;0.358;0.319;3.995;33.578;45.441;49.112;0.955;1.661;0.533;OK
0.611;0.361;0.319;1.967;35.896;45.705;49.126;1.087;1.684;0.532;OK
0.599;0.347;0.319;1.703;34.793;44.526;49.155;1.023;1.596;0.538;OK
0.596;0.349;0.319;2.994;33.178;45.246;49.133;0.913;1.646;0.537;OK
0.591;0.356;0.321;1.249;32.627;44.8;49.145;0.885;1.617;0.533;OK
0.61;0.348;0.319;3.76;33.805;44.28;49.135;0.963;1.578;0.533;OK
0.591;0.347;0.319;2.771;33.067;44.014;49.142;0.919;1.561;0.531;OK
0.615;0.338;0.319;2.984;33.972;44.904;49.145;0.964;1.627;;OK
0.613;0.354;0.321;1.308;34.844;44.886;49.13;1.028;1.622;0.532;OK
0.617;0.361;0.32;1.984;33.256;44.015;49.135;0.932;1.553;0.532;OK
0.609;0.358;0.321;1.963;35.252;44.147;49.144;1.041;1.569;0.531;OK
0.63;0.354;0.321;1.503;33.51;45.314;49.114;0.937;1.66;0.531;OK
0.605;0.346;0.319;1.419;35.975;44.39;49.116;1.083;1.583;0.532;OK
0.613;0.345;0.321;3.223;32.934;44.316;49.159;0.905;1.583;0.533;OK
0.63;0.35;0.319;4.508;33.28;45.223;49.128;0.922;1.649;0.528;OK
0.605;0.353;0.321;4.23;33.848;44.642;49.116;0.966;1.601;0.533;OK
0.635;0.34;0.32;2.374;34.433;44.457;49.151;1.002;1.596;0.534;OK
0.647;0.353;0.32;4.142;36.958;45.416;49.136;1.16;1.657;0.53;OK
0.633;0.347;0.319;3.675;36.446;45.925;49.119;1.129;1.7;0.53;OK
0.608;0.369;0.319;2.305;35.276;45.207;49.118;1.051;1.648;0.53;OK
0.66;0.348;0.321;1.757;34.399;44.752;49.13;1.001;1.603;0.531;OK
0.648;0.338;0.319;1.524;34.719;44.728;49.141;1.023;1.613;0.533;OK
0.65;0.355;0.321;3.216;36.23;44.668;49.146;1.107;1.606;0.534;OK
0.633;0.362;0.32;4.652;34.536;44.195;49.121;0.997;1.571;0.535;OK
0.656;0.34;0.32;1.371;34.205;43.968;49.149;0.982;1.555;0.529;OK
0.647;0.35;0.32;2.426;33.716;45.218;49.127;0.952;1.642;0.528;OK
0.665;0.363;0.319;3.259;33.761;45.73;49.114;0.964;1.684;0.534;OK
0.607;0.351;0.32;4.522;35.205;45.834;49.13;1.044;1.69;0.536;OK
0.636;0.344;0.32;4.633;35.257;44.509;49.111;1.04;1.594;0.53;OK
0.651;0.341;0.32;4.706;35.037;44.563;49.121;1.035;1.602;0.531;OK
0.643;0.359;0.32;2.881;35.219;45.76;49.143;1.043;1.686;0.53;OK
0.663;0.353;0.32;1.036;33.611;45.281;49.144;0.953;1.658;0.534;OK
0.662;0.344;0.32;4.517;34.076;45.188;49.13;0.968;1.648;0.534;OK
0.669;0.346;0.319;2.022;34.634;44.831;49.117;1.013;1.62;0.532;OK
0.642;0.358;0.321;2.012;35.054;44.093;49.128;1.034;1.567;0.53;OK
0.627;0.36;0.319;4.748;34.904;45.43;49.114;1.026;1.667;0.528;OK
0.643;0.364;0.311;3.841;32.027;41.556;49.133;0.844;1.369;0.53;OK
0.652;0.339;0.31;4.84;31.946;41.192;49.131;0.84;1.347;0.533;OK
0.656;0.382;0.307;1.006;29.057;41.057;49.141;0.678;1.339;0.531;OK
0.667;0.389;0.306;4.393;29.467;41.376;49.155;0.692;1.366;0.534;OK
0.664;0.396;0.305;1.162;28.182;40.794;49.129;0.601;1.322;0.536;OK
0.627;0.413;0.302;1.794;30.898;40.896;49.129;0.783;1.325;0.542;OK
0.637;0.441;0.302;1.311;29.84;40.534;49.148;0.724;1.297;0.548;OK
0.565;0.438;0.299;3.106;32.099;40.186;49.143;0.851;1.279;0.546;OK
0.536;0.432;0.299;4.357;31.947;39.293;49.142;0.853;1.205;0.545;OK
0.515;0.442;0.296;2.681;32.412;39.247;49.151;0.868;1.209;;OK
0.473;0.443;0.296;1.074;33.902;39.481;49.149;0.963;1.222;0.542;OK
0.47;0.419;0.299;2.549;33.211;38.565;49.159;0.93;1.152;0.539;OK
0.46;0.398;0.297;2.069;36.039;38.809;49.141;1.093;1.171;0.535;OK
0.439;0.404;0.297;3.644;34.092;39.134;49.166;0.981;1.192;0.53;OK
0.481;0.382;0.295;2.951;35.755;39.038;49.146;1.083;1.189;0.529;OK
0.455;0.331;0.293;3.349;34.551;39.504;49.14;1.009;1.226;0.523;OK
0.481;0.318;0.291;2.157;34.915;40.217;49.173;1.028;1.278;0.52;OK
0.476;0.288;0.288;3.18;35.682;39.774;49.179;1.067;1.243;0.517;OK
0.5;0.282;0.287;1.748;35.717;40.488;49.168;1.072;1.299;0.519;OK
0.531;0.27;0.285;4.781;34.537;40.396;49.159;1.004;1.288;0.515;OK
0.516;0.243;0.285;2.755;33.061;41.509;49.17;0.913;1.375;0.513;OK
0.567;0.254;0.283;1.405;32.391;41.232;49.167;0.88;1.355;0.514;OK
0.587;0.267;0.283;2.265;32.911;40.943;49.141;0.922;1.331;0.512;OK
0.602;0.266;0.284;4.269;32.191;40.71;49.178;0.856;1.308;0.515;OK
0.593;0.259;0.284;2.953;31.035;40.913;49.152;0.785;1.329;0.513;OK
0.614;0.263;0.286;1.009;29.827;39.961;49.181;0.709;1.266;0.511;OK
0.615;0.266;0.287;4.182;27.487;40.544;49.188;0.589;1.302;0.514;OK
0.612;0.27;0.29;3.317;26.504;41.584;49.15;0.51;1.376;0.511;OK
0.587;0.269;0.29;4.263;26.47;41.019;49.149;0.505;1.336;0.515;OK
0.592;0.241;0.292;4.523;26.258;40.67;49.167;0.496;1.31;0.516;OK
0.589;0.274;0.293;2.989;27.064;41.313;49.128;0.553;1.356;0.521;OK
0.62;0.266;0.294;1.196;24.923;41.704;49.149;0.415;1.385;0.519;OK
0.651;0.299;0.295;1.503;25.754;41.714;49.17;0.481;1.389;0.524;OK
0.651;0.301;0.295;4.888;25.852;42.635;49.139;0.476;1.455;0.525;OK
0.663;0.322;0.296;1.508;26.865;42.75;49.152;0.543;1.468;0.531;OK
0.658;0.332;0.297;2.203;24.995;42.615;49.143;0.429;1.455;0.534;OK
0.665;0.345;0.299;1.364;27.327;44.158;49.138;0.574;1.572;0.532;OK
0.665;0.346;0.3;1.996;28.125;43.981;49.149;0.628;1.555;0.532;OK
0.659;0.367;0.3;1.312;28.525;43.037;49.135;0.633;1.485;0.535;OK
0.636;0.367;0.302;4.873;28.999;43.693;49.13;0.68;1.523;0.536;OK
0.617;0.352;0.302;4.665;29.205;43.21;49.131;0.682;1.499;0.536;OK
0.59;0.368;0.301;1.78;30.68;42.921;49.124;0.776;1.48;0.538;OK
0.587;0.357;0.302;2.095;31.188;42.726;49.143;0.808;1.456;0.532;OK
0.588;0.359;0.301;2.657;29.221;42.827;49.136;0.687;1.468;;OK
0.556;0.366;0.301;1.171;30.388;42.63;49.131;0.745;1.457;0.534;OK
0.584;0.358;0.302;3.96;31.837;41.74;49.16;0.834;1.393;0.533;OK
0.555;0.372;0.3;2.027;31.101;42.196;49.137;0.805;1.418;0.534;OK
0.572;0.369;0.3;3.436;31.241;41.527;49.142;0.801;1.371;0.534;OK
0.575;0.377;0.3;3.986;32.328;42.04;49.158;0.863;1.415;0.537;OK
0.545;0.372;0.299;4.554;32.038;41.897;49.143;0.846;1.399;0.534;OK
0.558;0.394;0.298;3.667;32.816;41.083;49.114;0.905;1.335;0.54;OK
0.566;0.402;0.298;3.342;33.184;41.82;49.136;0.92;1.406;0.534;OK
0.553;0.41;0.298;3.001;32.094;42.082;49.15;0.861;1.415;0.539;OK
0.56;0.407;0.298;2.423;32.305;41.763;49.155;0.869;1.393;0.54;OK
0.57;0.4;0.299;2.786;33.95;41.909;49.166;0.969;1.403;0.541;OK
0.552;0.41;0.297;4.185;32.468;42.102;49.143;0.879;1.42;0.539;OK
0.573;0.41;0.297;3.507;29.948;42.012;49.153;0.724;1.41;0.538;OK
0.587;0.422;0.296;1.729;32.974;41.759;49.138;0.898;1.39;0.539;OK
0.573;0.422;0.297;1.105;33.76;41.509;49.15;0.955;1.373;0.539;OK
0.59;0.41;0.295;2.751;33.21;41.381;49.144;0.921;1.359;0.538;OK
0.581;0.386;0.294;4.012;33.135;41.291;49.146;0.913;1.35;0.533;OK
0.578;0.385;0.295;3.367;31.189;41.786;49.129;0.8;1.393;0.536;OK
0.583;0.402;0.295;4.509;31.549;42.252;49.155;0.823;1.433;0.531;OK
0.565;0.387;0.293;3.027;32.014;41.682;49.164;0.855;1.38;0.531;OK
0.58;0.371;0.293;3.965;31.006;41.079;49.139;0.789;1.341;0.531;OK
0.555;0.377;0.293;1.382;31.062;41.061;49.141;0.771;1.338;0.529;OK
0.575;0.362;0.294;2.118;29.513;42.012;49.134;0.7;1.411;0.533;OK
0.577;0.374;0.293;4.122;31.638;42.273;49.161;0.828;1.436;0.529;OK
0.606;0.372;0.293;1.743;30.865;42.117;49.148;0.772;1.415;0.531;OK
0.601;0.365;0.294;2.65;28.412;41.842;49.173;0.622;1.395;0.532;OK
0.581;0.371;0.293;1.094;29.077;41.894;49.137;0.642;1.399;0.531;OK
0.571;0.364;0.293;4.58;29.821;41.841;49.132;0.716;1.401;0.535;OK
0.628;0.382;0.293;4.741;28.814;42.363;49.141;0.651;1.436;0.534;OK
0.616;0.373;0.294;1.654;29.367;42.469;49.141;0.693;1.444;0.533;OK
0.62;0.376;0.295;1.314;28.076;42.883;49.162;0.613;1.473;0.532;OK
0.63;0.367;0.294;2.759;26.718;42.456;49.158;0.533;1.441;0.529;OK
0.586;0.367;0.294;4.681;26.04;43.037;49.155;0.494;1.482;0.539;OK
0.597;0.37;0.295;1.891;28.092;43.231;49.132;0.613;1.499;0.536;OK
0.605;0.357;0.294;1.779;29.261;43.079;49.153;0.681;1.485;0.534;OK
0.607;0.386;0.295;1.156;29.464;43.002;49.128;0.699;1.483;0.535;OK
0.596;0.379;0.294;1.072;29.113;42.422;49.147;0.67;1.44;0.538;OK
0.624;0.379;0.295;2.738;28.407;42.637;49.156;0.625;1.454;0.532;OK
0.607;0.365;0.295;3.25;27.43;42.402;49.134;0.559;1.436;0.535;OK
0.596;0.358;0.295;3.386;29.424;43.028;49.163;0.696;1.482;0.541;OK
0.604;0.362;0.295;1.74;29.542;43.115;49.138;0.693;1.492;0.538;OK
0.608;0.356;0.296;3.256;29.92;42.52;49.133;0.723;1.451;0.535;OK
0.603;0.355;0.295;4.898;29.7;43.086;49.143;0.717;1.49;0.534;OK
0.621;0.366;0.295;3.373;31.536;43.166;49.145;0.825;1.491;0.537;OK
0.584;0.371;0.296;3.042;32.572;41.93;49.134;0.881;1.408;0.537;OK
0.603;0.351;0.297;2.209;29.545;42.461;49.145;0.697;1.446;0.533;OK
0.595;0.366;0.297;3.536;31.497;42.83;49.135;0.817;1.47;0.532;OK
0.592;0.349;0.296;3.167;31.013;43.428;49.128;0.793;1.52;0.529;OK
0.601;0.369;0.295;3.703;32.921;43.497;49.147;0.903;1.522;0.535;OK
0.594;0.349;0.295;4.064;31.935;42.938;49.128;0.841;1.478;0.532;OK
0.59;0.368;0.295;3.385;30.836;41.999;49.139;0.783;1.413;0.533;OK
0.606;0.368;0.296;4.452;32.604;42.562;49.159;0.887;1.451;0.531;OK
0.581;0.378;0.297;1.934;32.171;43.187;49.112;0.856;1.497;0.532;OK
0.585;0.375;0.295;4.252;34.029;42.548;49.136;0.957;1.449;0.534;OK
0.583;0.363;0.295;3.61;33.655;42.328;49.161;0.952;1.435;0.532;OK
0.584;0.372;0.295;2.476;33.696;41.736;49.12;0.949;1.388;0.536;OK
0.56;0.37;0.295;1.397;31.995;42.98;49.146;0.847;1.479;0.532;OK
0.571;0.362;0.295;2.97;32.233;43.005;49.158;0.869;1.481;0.537;OK
0.594;0.368;0.295;1.692;30.838;42.421;49.125;0.77;1.443;0.536;OK
0.598;0.378;0.295;2.656;34.931;42.202;49.127;1.033;1.423;0.532;OK
0.571;0.373;0.295;1.503;31.243;42.546;49.151;0.799;1.455;0.534;OK
0.593;0.36;0.294;3.09;30.337;43.009;49.148;0.75;1.487;0.536;OK
0.583;0.366;0.294;3.676;32.734;42.145;49.15;0.893;1.42;0.531;OK
0.571;0.375;0.294;4.412;32.568;43.006;49.14;0.887;1.476;0.531;OK
0.586;0.356;0.294;3.984;31.051;42.009;49.145;0.794;1.405;0.538;OK
0.573;0.355;0.294;4.664;30.493;43.05;49.138;0.756;1.489;0.532;OK
0.601;0.366;0.293;2.658;32.077;42.83;49.146;0.86;1.471;0.53;OK
0.568;0.361;0.295;4.371;30.603;43.27;49.132;0.764;1.507;0.534;OK
0.605;0.366;0.293;1.018;31.392;42.569;49.142;0.807;1.45;0.533;OK
0.602;0.362;0.294;3.833;30.733;42.321;49.135;0.764;1.433;0.531;OK
0.562;0.366;0.292;1.914;31.757;43.002;49.139;0.837;1.491;0.532;OK
0.573;0.359;0.293;1.87;32.424;42.193;49.147;0.876;1.424;0.532;OK
0.579;0.366;0.292;4.258;30.733;42.642;49.121;0.77;1.459;0.532;OK
0.568;0.359;0.293;2.546;29.552;42.569;49.129;0.698;1.453;0.531;OK
0.576;0.353;0.292;1.977;30.041;42.774;49.139;0.732;1.469;0.535;OK
0.587;0.352;0.291;4.398;29.403;42.302;49.15;0.693;1.432;0.53;OK
0.593;0.348;0.294;4.438;30.568;42.863;49.137;0.759;1.486;0.534;OK
0.591;0.353;0.293;2.066;31.487;41.82;49.161;0.806;1.395;0.531;OK
0.6;0.358;0.293;4.534;31.234;43.406;49.141;0.811;1.513;0.529;OK
0.593;0.364;0.293;3.372;29.933;42.654;49.127;0.722;1.457;0.532;OK
0.604;0.357;0.292;3.665;31.877;42.283;49.129;0.847;1.432;0.53;OK
0.567;0.346;0.293;2.604;29.323;41.639;49.153;0.693;1.378;0.526;OK
0.582;0.361;0.292;4.407;30.647;42.734;49.147;0.766;1.459;0.532;OK
0.594;0.348;0.292;2.332;30.545;42.068;49.126;0.754;1.414;0.53;OK
0.573;0.347;0.294;1.415;32.635;43.092;49.158;0.897;1.493;0.53;OK
0.607;0.357;0.292;3.993;32.638;42.917;49.144;0.892;1.481;0.528;OK
0.598;0.354;0.294;3.569;31.192;43.274;49.117;0.795;1.5;0.527;OK
0.603;0.348;0.293;1.674;31.602;42.727;49.117;0.816;1.462;0.529;OK
0.577;0.356;0.293;3.048;33.171;43.15;49.131;0.926;1.497;0.53;OK
0.578;0.338;0.293;1.548;31.99;42.903;49.143;0.841;1.481;0.533;OK
0.6;0.347;0.292;1.639;32.272;42.574;49.129;0.863;1.454;0.527;OK
0.611;0.353;0.293;1.163;33.933;42.659;49.146;0.98;1.454;0.528;OK
0.592;0.355;0.294;1.251;33.341;43.018;49.138;0.927;1.484;0.521;OK
0.59;0.347;0.294;2.151;32.167;42.468;49.119;0.846;1.445;0.524;OK
0.614;0.349;0.294;3.651;32.319;42.371;49.135;0.864;1.436;0.523;OK
0.599;0.355;0.294;2.113;33.35;42.77;49.136;0.927;1.463;0.526;OK
0.618;0.347;0.293;4.527;34.213;42.751;49.13;0.983;1.468;0.523;OK
0.602;0.355;0.293;3.624;33.417;42.295;49.144;0.929;1.432;0.526;OK
0.573;0.346;0.294;2.047;33.545;42.35;49.143;0.945;1.429;0.525;OK
0.599;0.356;0.293;2.404;34.728;42.257;49.143;1.017;1.431;0.524;OK
0.595;0.346;0.292;1.198;33.191;42.127;49.133;0.931;1.419;0.524;OK
0.586;0.336;0.293;4.923;34.293;42.25;49.137;0.99;1.429;0.525;OK
0.629;0.336;0.294;4.85;34.359;42.272;49.134;0.992;1.427;0.526;OK
0.612;0.351;0.294;2.655;32.005;43.002;49.138;0.854;1.476;0.522;OK
